№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
2291	94	Кирова	4	04410053	2003	11.01 03:08	00021966	21966	****	****	****	****	****	****	****	****	31
2292	40	Кирова	5	04415898	2003	11.01 03:09	00020832	20832	****	****	****	****	****	****	****	****	31
2293	187	ул.Инициативная-27а	27а	07003909	2001	11.01 03:38	00008499	8499	****	****	****	****	****	****	****	****	310
2294	243	Инициативная	20а	06283287	2001	11.01 03:27	00004311	4311	****	****	****	****	****	****	****	****	310
2295	239	Инициативная	16а	06283212	2003	10.01 23:01	00008848	8848	****	****	****	****	****	****	****	****	310
2296	249	ул.Инициативная-28	28	06277312	2003	10.01 22:53	00011767	11767	****	****	****	****	****	****	****	****	310
2297	245	ул.Инициативная-22	22	01780044	2003	10.01 22:59	00002631	2631	****	****	****	****	****	****	****	****	310
2298	244	ул.Инициативная-18а	18а	06277549	2003	10.01 23:01	00014687	14687	****	****	****	****	****	****	****	****	310
2299	246	ул.Инициативная-24а	24а	06277835	2003	10.01 23:00	00009814	9814	****	****	****	****	****	****	****	****	310
2300	250	ул.Инициативная-30	30	06277305	2004	11.01 03:47	00009785	9785	****	****	****	****	****	****	****	****	310
2301	608	ул.Инициативная-24	24	07021434	2002	11.01 04:13	00014599	14599	****	****	****	****	****	****	****	****	311
2302	207	Инициативная	16в	07022604	2004	11.01 03:47	00014898	14898	****	****	****	****	****	****	****	****	311
2303	548	Инициативная	26а	06221500	2003	11.01 03:18	00016757	16757	****	****	****	****	****	****	****	****	311
2304	146	ул.Инициативная-26	26	07019914	2001	10.01 18:32	00005810	5810	****	****	****	****	****	****	****	****	312
2305	154	ул.Тайгинская-8а	8а	07019967	2001	10.01 18:37	00009714	9714	****	****	****	****	****	****	****	****	312
2306	427	ул.Тайгинская-9а	9а	07022624	2001	10.01 18:26	00004128	4128	****	****	****	****	****	****	****	****	312
2307	155	ул.Инициативная-22	22	07019927	2002	11.01 03:02	00012936	12936	****	****	****	****	****	****	****	****	312
2308	151	Тайгинская	10	07019994	2003	11.01 03:58	00017711	17711	****	****	****	****	****	****	****	****	312
2309	153	Тайгинская	12	07019991	2003	11.01 03:51	00015207	15207	****	****	****	****	****	****	****	****	312
2310	344	ул.Потемкина	8а	06243299	2001	10.01 23:58	00009762	9762	****	****	****	****	****	****	****	****	314
2311	326	ул.Потемкина	8	06263473	2002	10.01 23:27	00010982	10982	****	****	****	****	****	****	****	****	314
2312	327	ул.Потемкина	6	06244286	2003	10.01 06:45	00009863	9863	****	****	****	****	****	****	****	****	314
2313	174	ул.Аллейная-9	9	07003803	2001	11.01 03:29	00019483	19483	****	****	****	****	****	****	****	****	315
2314	328	Аллейная	9а	03372811	2001	11.01 02:53	00009331	9331	****	****	****	****	****	****	****	****	315
2315	165	ул.Попова-9	9	07000199	2003	11.01 03:35	00013810	13810	****	****	****	****	****	****	****	****	315
2316	176	ул.Аллейная-7	7	07000064	2003	11.01 03:28	00008315	8315	****	****	****	****	****	****	****	****	315
2317	163	ул.Аллейная-9б	9б	06277661	2003	11.01 03:27	00015660	15660	****	****	****	****	****	****	****	****	315
2318	164	ул.Аллейная-9	9	06295214	2003	11.01 03:29	00014726	14726	****	****	****	****	****	****	****	****	315
2319	114	Аллейная 13		07021667	2003	11.01 03:28	00007185	7185	****	****	****	****	****	****	****	****	315
2320	156	ул.Попова-5б	5б	07000172	2003	11.01 03:35	00009752	9752	****	****	****	****	****	****	****	****	315
2321	100	ООО Лидер 400/5	0	01775745	2003	11.01 03:38	00006410	6410	****	****	****	****	****	****	****	****	315
2322	964	ул.Гурьевская-18	18	07022629	2001	11.01 03:38	00014680	14680	****	****	****	****	****	****	****	****	316
2323	734	ул.Инициативная-32	32	07000228	2001	11.01 03:26	00014472	14472	****	****	****	****	****	****	****	****	316
2324	735	ул.Инициативная-34а	34а	07000238	2002	11.01 03:45	00011301	11301	****	****	****	****	****	****	****	****	316
2325	740	ул.Инициативная-34	34	07000284	2002	11.01 03:41	00010598	10598	****	****	****	****	****	****	****	****	316
2326	547	ул.Инициативная-36	36	06232380	2002	11.01 03:49	00016179	16179	****	****	****	****	****	****	****	****	316
2327	21	ул.Инициативная-38	38	15623656	2003	11.01 03:07	00001232	1232	****	****	****	****	****	****	****	****	316
2328	739	ул.Попова-5	5	07000359	2001	11.01 03:31	00012300	12300	****	****	****	****	****	****	****	****	317
2329	184	ул.Попова-5	5	07003783	2003	11.01 02:27	00014219	14219	****	****	****	****	****	****	****	****	317
2330	8	Попова	11	03375608	2003	11.01 02:22	00006296	6296	****	****	****	****	****	****	****	****	317
2331	152	ул.Попова-5а	5а	07019939	2003	11.01 02:26	00002662	2662	****	****	****	****	****	****	****	****	317
2332	170	ул.Попова-7	7	07000007	2003	11.01 02:24	00013212	13212	****	****	****	****	****	****	****	****	317
2333	172	ул.Попова-7	7	06277464	2003	11.01 02:20	00012853	12853	****	****	****	****	****	****	****	****	317
2334	191	ул.Попова-3	3	07003946	2003	11.01 01:55	00011170	11170	****	****	****	****	****	****	****	****	317
2335	193	ул.Попова-3	3	07003900	2003	11.01 02:20	00013719	13719	****	****	****	****	****	****	****	****	317
2336	215	Попова	11	03372689	2003	11.01 02:29	00011339	11339	****	****	****	****	****	****	****	****	317
2337	180	ул.Инициативная-27	27	06258038	2001	11.01 02:49	00010669	10669	****	****	****	****	****	****	****	****	318
2338	175	ул.Аллейная-3	3	06277775	2002	11.01 00:09	00010903	10903	****	****	****	****	****	****	****	****	318
2339	158	ул.Инициативная-29а	29а	06294968	2003	11.01 03:33	00011222	11222	****	****	****	****	****	****	****	****	318
2340	159	ул.Инициативная-29а	29а	06295211	2003	11.01 03:29	00018155	18155	****	****	****	****	****	****	****	****	318
2341	160	ул.Инициативная-29	29	06277659	2003	****	****	0	****	****	****	****	****	****	****	****	318
2342	269	ул.Кирова-16	16	03372632	2001	11.01 03:27	00006199	6199	****	****	****	****	****	****	****	****	32
2343	275	ул.Кирова-18	18	03351976	2001	11.01 03:24	00010900	10900	****	****	****	****	****	****	****	****	32
2344	271	пр.Советский	34	03372298	2001	11.01 03:30	00005005	5005	****	****	****	****	****	****	****	****	32
2345	272	пр.Советский-36	36	03372341	2002	11.01 03:33	00003755	3755	****	****	****	****	****	****	****	****	32
2346	645	пр.Советский	34	06232658	2002	11.01 03:25	00005501	5501	****	****	****	****	****	****	****	****	32
2347	376	ул.Терешковой-28	28	07003068	2001	11.01 01:38	00006462	6462	****	****	****	****	****	****	****	****	320
2348	397	ул.Терешковой-32	32	07021583	2001	11.01 01:37	00005735	5735	****	****	****	****	****	****	****	****	320
2349	401	ул.Терешковой-28а	28а	07021509	2001	11.01 01:43	00006116	6116	****	****	****	****	****	****	****	****	320
2350	396	ул.Терешковой-26	26	07021500	2002	11.01 01:00	00015479	15479	****	****	****	****	****	****	****	****	320
2351	378	пр.Ленина-103а	103а	06294977	2001	11.01 03:37	00009534	9534	****	****	****	****	****	****	****	****	324
2352	392	пр.Ленина-105а	105а	07022665	2001	11.01 03:25	00014269	14269	****	****	****	****	****	****	****	****	324
2353	395	ул.Терешковой-28б	28б	07022683	2001	11.01 03:36	00008317	8317	****	****	****	****	****	****	****	****	324
2354	398	пр.Ленина-105	105	07022641	2001	11.01 03:30	00011563	11563	****	****	****	****	****	****	****	****	324
2355	399	пр.Ленина-103	103	07021515	2001	11.01 03:33	00007955	7955	****	****	****	****	****	****	****	****	324
2356	370	пр.Ленина-107б	107б	07000286	2001	11.01 03:36	00005922	5922	****	****	****	****	****	****	****	****	325
2357	375	пр.Ленина-107а	107а	07000370	2001	11.01 03:31	00007432	7432	****	****	****	****	****	****	****	****	325
2358	393	пр.Ленина-109а	109а	07022667	2001	11.01 03:39	00012655	12655	****	****	****	****	****	****	****	****	325
2359	371	пр.Ленина-113	113	07000122	2001	11.01 03:40	00008680	8680	****	****	****	****	****	****	****	****	326
2360	381	пр.Ленина-113а	113а	07000051	2001	11.01 03:36	00007129	7129	****	****	****	****	****	****	****	****	326
2361	394	пр.Ленина-111	111	07022664	2001	11.01 03:38	00012258	12258	****	****	****	****	****	****	****	****	326
2362	400	пр.Ленина-109	109	07021499	2001	11.01 03:40	00010878	10878	****	****	****	****	****	****	****	****	326
2363	382	пр.Ленина-109б	109б	06277233	2003	11.01 03:31	00003443	3443	****	****	****	****	****	****	****	****	326
2364	413	пр.Ленина-113б	113б	07003157	2003	11.01 03:28	00009790	9790	****	****	****	****	****	****	****	****	326
2365	422	пр.Ленина-111а	111а	07003559	2003	11.01 03:25	00008721	8721	****	****	****	****	****	****	****	****	326
2366	372	ул.Гагарина-142	142	07000421	2001	11.01 03:33	00005960	5960	****	****	****	****	****	****	****	****	327
2367	373	ул.Гагарина-140	140	07000369	2003	11.01 03:33	00007808	7808	****	****	****	****	****	****	****	****	327
2368	374	ул.Гагарина-144	144	07000185	2003	11.01 03:27	00007246	7246	****	****	****	****	****	****	****	****	327
2369	419	ул.Гагарина-148	148	07003564	2003	11.01 03:32	00009538	9538	****	****	****	****	****	****	****	****	327
2370	1	ул. Гагарина	146	10182049	2003	11.01 03:29	00009640	9640	****	****	****	****	****	****	****	****	327
2371	2	ул. Гагарина	146	07086340	2002	11.01 03:25	00006325	6325	****	****	****	****	****	****	****	****	327
2372	316	пр.Ленина-81а	81а	06283016	2001	11.01 03:25	00007046	7046	****	****	****	****	****	****	****	****	328
2373	328	ул.Спортивная-40	40	06277800	2001	11.01 03:22	00017077	17077	****	****	****	****	****	****	****	****	328
2374	753	ул.9 Января-1б	1б	07952418	2001	11.01 03:26	00005421	5421	****	****	****	****	****	****	****	****	328
2375	797	ул.9 Января-1б	1б	07952263	2001	11.01 03:28	00011562	11562	****	****	****	****	****	****	****	****	328
2376	936	Ленина общежитие	81	06257957	2001	11.01 03:19	00006595	6595	****	****	****	****	****	****	****	****	328
2377	937	Ленина общежитие	81	06239523	2003	11.01 03:36	00006046	6046	****	****	****	****	****	****	****	****	328
2378	1	пр. Ленина	81А	06243068	2003	11.01 03:35	00008766	8766	****	****	****	****	****	****	****	****	328
2379	3	пр. Ленина	81А	07929851	2003	11.01 03:38	00009449	9449	****	****	****	****	****	****	****	****	328
2380	959	пр.Ленина-79	79	06221529	2001	11.01 03:35	00009424	9424	****	****	****	****	****	****	****	****	329
2381	961	пр.Ленина-79	79	06221553	2002	11.01 02:26	00005874	5874	****	****	****	****	****	****	****	****	329
2382	326	пр.Ленина-77а	77а	06283303	2003	11.01 03:26	00007940	7940	****	****	****	****	****	****	****	****	329
2383	960	пр.Ленина-79	79	06225666	2003	11.01 03:30	00002189	2189	****	****	****	****	****	****	****	****	329
2384	962	Ленина 79 Колледж		06221539	2003	11.01 03:33	00003623	3623	****	****	****	****	****	****	****	****	329
2385	673	пр.Октябрьский-59	59	07952447	2001	11.01 03:28	00004877	4877	****	****	****	****	****	****	****	****	330
2386	675	пр.Октябрьский-59	59	07952403	2001	11.01 03:27	00003085	3085	****	****	****	****	****	****	****	****	330
2387	679	пр.Октябрьский-59	59	07952453	2001	11.01 03:33	00012330	12330	****	****	****	****	****	****	****	****	330
2388	680	пр.Октябрьский-59	59	07952424	2001	11.01 03:33	00009353	9353	****	****	****	****	****	****	****	****	330
2389	919	пр.Октябрьский-59	59	09296635	2001	11.01 03:36	00002705	2705	****	****	****	****	****	****	****	****	330
2390	920	пр.Октябрьский-59	59	09296720	2001	11.01 03:35	00010969	10969	****	****	****	****	****	****	****	****	330
2391	1	ул. Терешковой	22а	06277851	2001	11.01 03:36	00003133	3133	****	****	****	****	****	****	****	****	330
2392	2	ул. Терешковой	22а	03372587	2001	11.01 03:34	00005609	5609	****	****	****	****	****	****	****	****	330
2393	3	ул. Терешковой	22а	15622717	2001	11.01 03:30	00007158	7158	****	****	****	****	****	****	****	****	330
2394	4	ул. Терешковой	22а	06209390	2001	11.01 03:36	00002379	2379	****	****	****	****	****	****	****	****	330
2395	5	ул. Терешковой	22а	15660305	2001	11.01 03:34	00005975	5975	****	****	****	****	****	****	****	****	330
2396	6	ул. Терешковой	22а	01775281	2003	11.01 03:33	00006695	6695	****	****	****	****	****	****	****	****	330
2397	602	ул.Островского-26	26	06209348	2002	****	****	0	****	****	****	****	****	****	****	****	331
2398	604	ул.Весенняя-1	1	06209328	2002	05.01 02:40	00008106	8106	****	****	****	****	****	****	****	****	331
2399	608	ул.Набережная-1а	1а	06209332	2002	05.01 02:39	00009624	9624	****	****	****	****	****	****	****	****	331
2400	639	ул.Островского-26	26	07952647	2002	04.01 17:26	00004611	4611	****	****	****	****	****	****	****	****	331
2401	229	пр.Ленина-117	117	06283194	2001	11.01 03:30	00010004	10004	****	****	****	****	****	****	****	****	332
2402	327	пр.Ленина-117а	117а	06278003	2001	11.01 03:20	00007151	7151	****	****	****	****	****	****	****	****	332
2403	428	пр.Ленина-117б	117б	07023017	2001	11.01 03:30	00009086	9086	****	****	****	****	****	****	****	****	332
2404	391	ул.Волгоградская-21а	21а	06258006	2003	11.01 03:35	00015302	15302	****	****	****	****	****	****	****	****	332
2405	232	пр.Ленина-115	115	06283210	2003	11.01 03:40	00015234	15234	****	****	****	****	****	****	****	****	332
2406	235	пр.Ленина-115а	115а	06283201	2003	11.01 03:34	00006229	6229	****	****	****	****	****	****	****	****	332
2407	387	ул.Волгоградская-21	21	07000099	2003	11.01 03:33	00014120	14120	****	****	****	****	****	****	****	****	332
2408	230	ул.Волгоградская-21	21	06283191	2003	11.01 03:36	00014240	14240	****	****	****	****	****	****	****	****	332
2409	228	ул.Волгоградская-29	29	06283278	2002	11.01 03:39	00008149	8149	****	****	****	****	****	****	****	****	333
2410	380	ул.Волгоградская-25	25	06277161	2002	11.01 03:34	00009329	9329	****	****	****	****	****	****	****	****	333
2411	386	ул.Волгоградская-27	27	06295145	2002	11.01 03:42	00007877	7877	****	****	****	****	****	****	****	****	333
2412	388	ул.Волгоградская-23	23	06277575	2002	11.01 03:30	00007185	7185	****	****	****	****	****	****	****	****	333
2413	383	ул.Волгоградская-31	31	06295122	2002	11.01 03:40	00008504	8504	****	****	****	****	****	****	****	****	334
2414	389	ул.Сиб.-Гвардейцев,334	334	07000088	2002	11.01 03:21	00008719	8719	****	****	****	****	****	****	****	****	334
2415	426	ул.Волгоградская,33	33	07022685	2002	11.01 03:33	00008271	8271	****	****	****	****	****	****	****	****	334
2416	227	ул.Волгоградская-31а	31а	06283175	2003	11.01 03:37	00011178	11178	****	****	****	****	****	****	****	****	334
2417	385	ул.Сиб.-Гвардейцев,330	330	06277224	2003	11.01 03:13	00016747	16747	****	****	****	****	****	****	****	****	334
2418	390	ул.Сиб.-Гвардейцев,330	330	06277331	2003	11.01 03:31	00018379	18379	****	****	****	****	****	****	****	****	334
2419	1	ул. Волгоградская	29А	06242968	2001	11.01 03:35	00005456	5456	****	****	****	****	****	****	****	****	334
2420	234	ул.Сиб.-Гвардейцев,328	328	06283207	2003	11.01 03:42	00005129	5129	****	****	****	****	****	****	****	****	335
2421	358	ул.Сиб.-Гвардейцев,322	322	07022675	2003	11.01 03:36	00007969	7969	****	****	****	****	****	****	****	****	335
2422	361	ул.Сиб.-Гвардейцев,326	326	07022681	2003	11.01 03:35	00007923	7923	****	****	****	****	****	****	****	****	335
2423	457	ул.Сиб.-Гвардейцев,328а	328а	07022461	2003	11.01 03:40	00011235	11235	****	****	****	****	****	****	****	****	335
2424	236	ул.Сиб.-Гвардейцев,320	320	06283195	2001	11.01 03:40	00009674	9674	****	****	****	****	****	****	****	****	335
2425	452	ул.Сиб.-Гвардейцев,324	324	07020300	2001	11.01 03:38	00007295	7295	****	****	****	****	****	****	****	****	335
2426	453	ул.Сиб.-Гвардейцев,320	320	07016087	2001	11.01 03:38	00007278	7278	****	****	****	****	****	****	****	****	335
2427	354	ул.Сиб.-Гвардейцев,316	316	07022774	2001	11.01 03:37	00008395	8395	****	****	****	****	****	****	****	****	336
2428	455	ул.Сиб.-Гвардейцев,312	312	07021547	2001	11.01 03:37	00007238	7238	****	****	****	****	****	****	****	****	336
2429	460	ул.Сиб.-Гвардейцев,314	314	07021826	2001	11.01 03:38	00010579	10579	****	****	****	****	****	****	****	****	336
2430	412	ул.Сиб.-Гвардейцев,310	310	07003167	2001	11.01 03:32	00008140	8140	****	****	****	****	****	****	****	****	336
2431	379	ул.Сиб.-Гвардейцев,308	308	07002977	2002	11.01 03:37	00012784	12784	****	****	****	****	****	****	****	****	336
2432	342	ул.Терешковой-44	44	06294927	2003	11.01 03:36	00007002	7002	****	****	****	****	****	****	****	****	337
2433	10	ул.Сиб.-Гвардейцев-300	300	17496573	2003	11.01 03:34	00013583	13583	****	****	****	****	****	****	****	****	337
2434	343	ул.Сиб.-Гвардейцев,296	296	06295222	2003	11.01 03:41	00007426	7426	****	****	****	****	****	****	****	****	337
2435	339	ул.Сиб.-Гвардейцев,298	298	07000166	2001	11.01 03:51	00006302	6302	****	****	****	****	****	****	****	****	337
2436	456	ул.Сиб.-Гвардейцев,302	302	07021558	2001	11.01 03:41	00005840	5840	****	****	****	****	****	****	****	****	337
2437	421	ул.Терешковой-42	42	07003534	2001	11.01 03:51	00007225	7225	****	****	****	****	****	****	****	****	338
2438	461	ул.Терешковой-38	38	07022713	2001	11.01 03:52	00011626	11626	****	****	****	****	****	****	****	****	338
2439	30	Мария-ра	42	03351594	2001	11.01 03:56	00005034	5034	****	****	****	****	****	****	****	****	338
2440	459	ул.Гагарина-151	151	07020041	2003	11.01 03:37	00007187	7187	****	****	****	****	****	****	****	****	338
2441	392	ул.Терешковой-40а	40а	07021560	2001	11.01 03:58	00003175	3175	****	****	****	****	****	****	****	****	339
2442	458	ул.Гагарина-153	153	07022698	2001	11.01 03:55	00005682	5682	****	****	****	****	****	****	****	****	339
2443	454	ул.Гагарина-155	155	07022426	2001	11.01 03:55	00006160	6160	****	****	****	****	****	****	****	****	339
2444	356	ул.Гагарина-159	159	07022758	2003	11.01 03:42	00005648	5648	****	****	****	****	****	****	****	****	339
2445	1	ул. Сибиряков-Гвардейцев	306	06221591	2003	11.01 03:32	00005252	5252	****	****	****	****	****	****	****	****	339
2446	418	ул.Гагарина-157	157	07003124	2002	11.01 03:33	00008933	8933	****	****	****	****	****	****	****	****	339
2447	177	ул.Весенняя-6	6	05375966	2001	****	****	0	****	****	****	****	****	****	****	****	34
2448	15	ул.Островского-30	30	07952685	2001	****	****	0	****	****	****	****	****	****	****	****	34
2449	178	ул.Островского-33	33	05375914	2003	****	****	0	****	****	****	****	****	****	****	****	34
2450	664	ул.Орджоникидзе-2а	2а	07952503	2003	****	****	0	****	****	****	****	****	****	****	****	34
2451	12	ул.Весенняя-10	10	03372800	2003	****	****	0	****	****	****	****	****	****	****	****	34
2452	6	Арочная 19	19	03372688	2003	****	****	0	****	****	****	****	****	****	****	****	34
2453	212	ул.Островского-31	31	03375500	2002	****	****	0	****	****	****	****	****	****	****	****	34
2454	663	ул.Орджоникидзе-4	4	07952895	2002	****	****	0	****	****	****	****	****	****	****	****	34
2455	214	ул.Арочная-12	12	03375518	2002	****	****	0	****	****	****	****	****	****	****	****	34
2456	205	ул.Весенняя-8	8	03375618	2002	****	****	0	****	****	****	****	****	****	****	****	34
2457	11	Советский	46	03352047	2002	****	****	0	****	****	****	****	****	****	****	****	34
2458	5	пр.Ленина-53	53	03351997	2001	10.01 22:39	00007972	7972	****	****	****	****	****	****	****	****	344
2459	11	пр.Ленина-55а	55а	13199485	2001	11.01 03:37	00006907	6907	****	****	****	****	****	****	****	****	344
2460	631	пр.Ленина-51	51	06277510	2002	11.01 02:04	00003888	3888	****	****	****	****	****	****	****	****	344
2461	10	пр.Ленина-53а	53а	13195796	2002	****	****	0	****	****	****	****	****	****	****	****	344
2462	643	пр.Ленина-51а	51а	06277884	2001	11.01 03:37	00008312	8312	****	****	****	****	****	****	****	****	345
2463	637	пр.Ленина-45	45	06277874	2001	11.01 03:48	00009966	9966	****	****	****	****	****	****	****	****	345
2464	616	пр.Ленина-45а	45а	07000454	2001	11.01 03:47	00008398	8398	****	****	****	****	****	****	****	****	345
2465	635	пр.Ленина-47	47	06294965	2001	10.01 17:54	00009371	9371	****	****	****	****	****	****	****	****	345
2466	625	пр.Ленина-45	45	07000179	2001	11.01 03:43	00003803	3803	****	****	****	****	****	****	****	****	345
2467	630	пр.Ленина-49	49	06277516	2001	11.01 03:41	00003894	3894	****	****	****	****	****	****	****	****	345
2468	888	пр.Ленина-49	49а	03375764	2002	11.01 02:44	00001079	1079	****	****	****	****	****	****	****	****	345
2469	471	пр.Ленина-41а	41а	06295229	2001	11.01 02:16	00007847	7847	****	****	****	****	****	****	****	****	346
2470	463	пр.Ленина-43	43	06295230	2002	11.01 02:18	00008167	8167	****	****	****	****	****	****	****	****	346
2471	468	пр.Ленина-41б	41б	06294986	2002	11.01 02:09	00000591	591	****	****	****	****	****	****	****	****	346
2472	469	пр.Ленина-39б	39б	06294851	2002	11.01 02:19	00000769	769	****	****	****	****	****	****	****	****	346
2473	480	пр.Ленина-41	41	07000487	2002	11.01 02:21	00004142	4142	****	****	****	****	****	****	****	****	346
2474	462	пр.Ленина-39	39	06295226	2003	11.01 03:28	00004081	4081	****	****	****	****	****	****	****	****	346
2475	464	пр.Ленина-37	37	06294869	2003	11.01 03:36	00007922	7922	****	****	****	****	****	****	****	****	346
2476	470	пр.Ленина-39а	39а	06295241	2003	11.01 01:42	00009167	9167	****	****	****	****	****	****	****	****	346
2477	483	ул.Пролетарская-6	6	06277930	2002	11.01 04:06	00012713	12713	****	****	****	****	****	****	****	****	347
2478	489	ул.Пролетарская-8	8	06294960	2002	11.01 04:02	00009035	9035	****	****	****	****	****	****	****	****	347
2479	645	ул.Сиб.-Гвардейцев-24	24	07952666	2002	11.01 04:05	00007069	7069	****	****	****	****	****	****	****	****	347
2480	1	ул. Пролетарская	8Б	05378134	2001	11.01 04:17	00003799	3799	****	****	****	****	****	****	****	****	347
2481	473	ул.Пролетарская-14	14	06295208	2001	11.01 03:51	00011842	11842	****	****	****	****	****	****	****	****	348
2482	477	ул.Пролетарская-18	18	07003007	2001	11.01 03:47	00008500	8500	****	****	****	****	****	****	****	****	348
2483	482	ул.Пролетарская-16	16	06294951	2001	11.01 03:49	00012863	12863	****	****	****	****	****	****	****	****	348
2484	484	ул.Сарыгина-40	40	06294964	2001	11.01 03:56	00007806	7806	****	****	****	****	****	****	****	****	348
2485	485	ул.Сарыгина-40	40	07000192	2001	11.01 03:55	00010619	10619	****	****	****	****	****	****	****	****	348
2486	488	ул.Пролетарская-12	12	06277855	2001	11.01 03:53	00013240	13240	****	****	****	****	****	****	****	****	348
2487	5	ул. Сарыгина	34Б	05378173	2001	11.01 03:48	00009793	9793	****	****	****	****	****	****	****	****	348
2488	472	ул.Сарыгина-34	34	07002976	2003	11.01 03:15	00010537	10537	****	****	****	****	****	****	****	****	348
2489	481	ул.Сарыгина-34а	34а	07000155	2003	11.01 03:52	00011586	11586	****	****	****	****	****	****	****	****	348
2490	1	ул. Сарыгина	40А	05394386	2003	11.01 03:44	00012122	12122	****	****	****	****	****	****	****	****	348
2491	4	ул. Сарыгина	34Б	05378152	2003	11.01 03:44	00011058	11058	****	****	****	****	****	****	****	****	348
2492	475	ул.Мичурина-37а	37а	07000401	2001	****	****	0	****	****	****	****	****	****	****	****	349
2493	486	ул.Сарыгина-42	42	07000381	2001	****	****	0	****	****	****	****	****	****	****	****	349
2494	3	ул. Сарыгина	36А	06225599	2001	****	****	0	****	****	****	****	****	****	****	****	349
2495	465	ул.Мичурина-37	37	06294854	2002	****	****	0	****	****	****	****	****	****	****	****	349
2496	476	ул.Мичурина-41	41	07000353	2002	****	****	0	****	****	****	****	****	****	****	****	349
2497	478	ул.Мичурина-35	35	07003059	2002	****	****	0	****	****	****	****	****	****	****	****	349
2498	115	ул.Мичурина-41а	41а	07980986	2002	****	****	0	****	****	****	****	****	****	****	****	349
2499	466	ул.Мичурина-33	33	06295237	2003	****	****	0	****	****	****	****	****	****	****	****	349
2500	474	ул.Мичурина-39	39	07000481	2003	****	****	0	****	****	****	****	****	****	****	****	349
2501	2	ул. Сарыгина	36А	06225551	2003	****	****	0	****	****	****	****	****	****	****	****	349
2502	206	ул.Орджоникидзе-3	3	03375452	2001	11.01 03:37	00003915	3915	****	****	****	****	****	****	****	****	35
2503	202	ул.Набережная-13	13	03375600	2001	11.01 03:46	00002244	2244	****	****	****	****	****	****	****	****	35
2504	9	ул.Набережная-11	11	03372211	2002	11.01 03:40	00008503	8503	****	****	****	****	****	****	****	****	35
2505	203	ул.Набережная-13	13	03375616	2003	11.01 03:46	00003137	3137	****	****	****	****	****	****	****	****	35
2506	13	ул. Орджоникидзе жил.дом 5	5	03372715	2003	11.01 03:41	00011374	11374	****	****	****	****	****	****	****	****	35
2507	209	Орджоникидзе,5	5	03375555	2003	11.01 03:39	00010776	10776	****	****	****	****	****	****	****	****	35
2508	213	ул.Набережная-13	13	03375507	2003	11.01 03:44	00002900	2900	****	****	****	****	****	****	****	****	35
2509	348	ул.Красноармейская-142	142	06209160	2001	11.01 03:44	00006488	6488	****	****	****	****	****	****	****	****	354
2510	353	ул.Красноармейская-144	144	06209275	2001	11.01 03:42	00007040	7040	****	****	****	****	****	****	****	****	354
2511	357	ул.Мичурина-21	21	06209258	2001	11.01 03:37	00013436	13436	****	****	****	****	****	****	****	****	354
2512	358	ул.Мичурина-23	23	06209196	2001	11.01 03:42	00005349	5349	****	****	****	****	****	****	****	****	354
2513	411	Мичурина	21	06208201	2001	11.01 03:39	00011048	11048	****	****	****	****	****	****	****	****	354
2514	352	ул.Красноармейская-140	140	06209148	2003	11.01 03:49	00009590	9590	****	****	****	****	****	****	****	****	354
2515	359	ул.Красная-14	14	06209257	2003	11.01 03:48	00012655	12655	****	****	****	****	****	****	****	****	354
2516	10	ул. Красноармейская	140	18467711	2003	11.01 03:57	00005782	5782	****	****	****	****	****	****	****	****	354
2517	355	ул.Красноармейская-142а	142а	06209143	2002	11.01 03:36	00005762	5762	****	****	****	****	****	****	****	****	354
2518	155	ул.Красноармейская	144	17488955	2002	11.01 03:39	00002429	2429	****	****	****	****	****	****	****	****	354
2519	344	ул.Красная-12а	12а	06209161	2001	11.01 03:57	00009059	9059	****	****	****	****	****	****	****	****	355
2520	347	ул.Мичурина-15	15	06209165	2001	11.01 04:05	00012681	12681	****	****	****	****	****	****	****	****	355
2521	418	Мичурина	19	07090524	2001	11.01 03:58	00008220	8220	****	****	****	****	****	****	****	****	355
2522	342	ул.Васильева-11	11	06209213	2003	11.01 04:17	00008676	8676	****	****	****	****	****	****	****	****	355
2523	419	Мичурина	19	07090544	2003	11.01 04:22	00006105	6105	****	****	****	****	****	****	****	****	355
2524	381	ул.Красная-10б	10б	06209334	2001	11.01 03:42	00011998	11998	****	****	****	****	****	****	****	****	356
2525	385	ул.Красная-10	10	06209387	2001	11.01 03:41	00005874	5874	****	****	****	****	****	****	****	****	356
2526	543	Васильева	7	07906020	2002	11.01 03:55	00012812	12812	****	****	****	****	****	****	****	****	356
2527	34	Васильева	9	15647683	2002	11.01 03:52	00002892	2892	****	****	****	****	****	****	****	****	356
2528	387	ул.Красная-12	12	06209393	2003	10.01 21:34	00006357	6357	****	****	****	****	****	****	****	****	356
2529	430	ул.Васильева-7	7	06209397	2003	10.01 21:30	00012380	12380	****	****	****	****	****	****	****	****	356
2530	383	ул.Красная-10а	10а	06209302	2003	10.01 21:34	00013037	13037	****	****	****	****	****	****	****	****	356
2531	556	ул.Ермака-5	5	06232400	2001	11.01 03:45	00009060	9060	****	****	****	****	****	****	****	****	36
