№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
95	8	ул.Авроры,14	14	00621909	2001	11.01 01:55	00004856	4856	****	****	****	****	****	****	****	****	1030
96	10	ул.Авроры 14	14	01041159	2001	11.01 01:56	00013559	13559	****	****	****	****	****	****	****	****	1030
97	15	пр.Шахтеров 109	109	01797061	2001	11.01 01:55	00006532	6532	****	****	****	****	****	****	****	****	1030
98	1	Авроры	10 3п	05312245	2001	11.01 02:01	00007788	7788	****	****	****	****	****	****	****	****	1031
99	2	Авроры	10 3п	05312248	2001	11.01 02:07	00009686	9686	****	****	****	****	****	****	****	****	1031
100	3	Авроры	10 3п	05326509	2001	11.01 02:01	00012042	12042	****	****	****	****	****	****	****	****	1031
101	4	Авроры	10 3п	05326455	2001	11.01 02:07	00006411	6411	****	****	****	****	****	****	****	****	1031
102	17	Авроры	10 6п	03351652	2001	11.01 02:03	00009106	9106	****	****	****	****	****	****	****	****	1031
103	990	Авроры	10 6п	02577195	2001	11.01 02:01	00001219	1219	****	****	****	****	****	****	****	****	1031
104	23	Авроры	10 6п	02540711	2001	11.01 02:01	00011197	11197	****	****	****	****	****	****	****	****	1031
105	19	Авроры	10 6п	02566004	2001	11.01 02:01	00012448	12448	****	****	****	****	****	****	****	****	1031
106	18	Авроры	10 8п	03352025	2001	11.01 02:06	00003288	3288	****	****	****	****	****	****	****	****	1031
107	987	Авроры	10 10п	06239453	2001	11.01 02:01	00005539	5539	****	****	****	****	****	****	****	****	1031
108	986	Авроры	10 10п	06239470	2001	11.01 02:05	00008813	8813	****	****	****	****	****	****	****	****	1031
109	985	Авроры	10 10п	06275295	2001	11.01 02:01	00014920	14920	****	****	****	****	****	****	****	****	1031
110	984	Авроры	10 10п	06244861	2001	11.01 02:01	00003278	3278	****	****	****	****	****	****	****	****	1031
111	50	Авроры	10	15657818	2001	11.01 02:01	00005121	5121	****	****	****	****	****	****	****	****	1031
112	24	Авроры	10 6п	02540184	2003	11.01 02:05	00010337	10337	****	****	****	****	****	****	****	****	1031
113	989	Авроры	10 8п	06242911	2003	11.01 02:00	00002813	2813	****	****	****	****	****	****	****	****	1031
114	5	Авроры	10 8п	02573103	2003	11.01 01:58	00007215	7215	****	****	****	****	****	****	****	****	1031
115	988	Авроры	10 8п	02540401	2003	11.01 01:59	00003862	3862	****	****	****	****	****	****	****	****	1031
116	31	Авроры	10 8п	02539920	2003	11.01 02:07	00011825	11825	****	****	****	****	****	****	****	****	1031
117	999	Авроры	10а	01115378	2003	11.01 01:59	00010142	10142	****	****	****	****	****	****	****	****	1031
118	1000	Авроры	10а	01115421	2003	11.01 02:10	00004950	4950	****	****	****	****	****	****	****	****	1031
119	15	Шахтеров,119	119	04450976	2002	11.01 02:36	00015788	15788	****	****	****	****	****	****	****	****	1033
120	24	Шахтеров,115	115	04453585	2002	11.01 02:32	00007050	7050	****	****	****	****	****	****	****	****	1033
121	13	Шахтеров,119	119	03386100	2002	11.01 02:27	00004502	4502	****	****	****	****	****	****	****	****	1033
122	22	Шахтеров,115	115	04453593	2002	11.01 02:24	00011388	11388	****	****	****	****	****	****	****	****	1033
123	20	Шахтеров,115	115	02540690	2002	11.01 02:34	00016631	16631	****	****	****	****	****	****	****	****	1033
124	905	пр. Шахтеров	119	05378517	2002	11.01 02:27	00004287	4287	****	****	****	****	****	****	****	****	1033
125	904	пр. Шахтеров	119	05378499	2002	11.01 02:33	00003855	3855	****	****	****	****	****	****	****	****	1033
126	1	Шахтеров,117	117	04405259	2001	11.01 02:19	00016149	16149	****	****	****	****	****	****	****	****	1033
127	2	Шахтеров,117	117	03375749	2001	11.01 02:13	00006696	6696	****	****	****	****	****	****	****	****	1033
128	3	Шахтеров,117	117	04404972	2001	11.01 02:20	00019237	19237	****	****	****	****	****	****	****	****	1033
129	4	Шахтеров,117	117	04405285	2001	11.01 01:48	00006426	6426	****	****	****	****	****	****	****	****	1033
130	6	Шахтеров,117	117	03375745	2001	11.01 02:07	00012975	12975	****	****	****	****	****	****	****	****	1033
131	7	Шахтеров,117	117	04405256	2001	11.01 00:46	00010306	10306	****	****	****	****	****	****	****	****	1033
132	8	Шахтеров,117	117	03385671	2001	11.01 02:08	00003448	3448	****	****	****	****	****	****	****	****	1033
133	10	Шахтеров,119	119	03379571	2001	11.01 02:18	00009970	9970	****	****	****	****	****	****	****	****	1033
134	11	Шахтеров,119	119	03385986	2001	11.01 02:12	00009216	9216	****	****	****	****	****	****	****	****	1033
135	14	Шахтеров,119	119	04453748	2001	11.01 02:12	00009956	9956	****	****	****	****	****	****	****	****	1033
136	23	Шахтеров,115	115	04453774	2001	11.01 01:41	00004096	4096	****	****	****	****	****	****	****	****	1033
137	21	Шахтеров,115	115	02540719	2001	11.01 02:13	00007163	7163	****	****	****	****	****	****	****	****	1033
138	925	ул.Нартова-1б	1б	06232390	2003	11.01 02:03	00011887	11887	****	****	****	****	****	****	****	****	1034
139	927	ул.Нартова-1а	1а	06232429	2003	11.01 02:09	00008924	8924	****	****	****	****	****	****	****	****	1034
140	925	Нахимова	242	06298596	2001	****	****	0	****	****	****	****	****	****	****	****	1036
141	822	Нахимова		07952440	2002	****	****	0	****	****	****	****	****	****	****	****	1036
142	763	Дегтярев	5	07952462	2003	11.01 02:06	00005854	5854	****	****	****	****	****	****	****	****	1047
143	331	Антипова 5		06251019	2001	11.01 01:57	00070397	70397	****	****	****	****	****	****	****	****	1048
144	330	Антипова 3 (330)		06259481	2001	11.01 02:05	00038713	38713	****	****	****	****	****	****	****	****	1048
145	2	ул. Антипова	7а	11192513	2001	11.01 02:01	00003799	3799	****	****	****	****	****	****	****	****	1048
146	1	ул. Антипова	7а	11192487	2001	11.01 02:08	00007053	7053	****	****	****	****	****	****	****	****	1048
147	137	Антипова 7		06298409	2003	11.01 02:03	00041760	41760	****	****	****	****	****	****	****	****	1048
148	902	Антипова 6 (902)		06259119	2002	05.01 07:19	00065030	65030	****	****	****	****	****	****	****	****	1048
149	712	Кутузова 2 (712)		06259041	2002	****	****	0	****	****	****	****	****	****	****	****	1050
150	767	Луганская общий ТП	7	07952517	2002	****	****	0	****	****	****	****	****	****	****	****	1050
151	773	ул.Водонапорная-7	7	07000388	2003	****	****	0	****	****	****	****	****	****	****	****	1050
152	710	Луганская  8  (710)		06259034	2001	02.01 02:06	00063678	63678	****	****	****	****	****	****	****	****	1063
153	766	Славы общий ТП	23	07953019	2001	02.01 02:06	00012824	12824	****	****	****	****	****	****	****	****	1063
154	139	Водонапорная 5  (139)		06298412	2002	****	****	0	****	****	****	****	****	****	****	****	1063
155	656	ул.Советский-41	41	07952515	2001	10.01 20:23	00002286	2286	****	****	****	****	****	****	****	****	110
156	653	ул.Ноградская-10	10	07952872	2001	10.01 20:04	00005596	5596	****	****	****	****	****	****	****	****	110
157	75	пр.Советский-43	43	25440875	2003	11.01 01:45	00002865	2865	****	****	****	****	****	****	****	****	110
158	860	пр.Советский	43	09283718	2002	10.01 20:10	00001600	1600	****	****	****	****	****	****	****	****	110
159	861	пр.Советский	43	09283715	2002	10.01 20:10	00004676	4676	****	****	****	****	****	****	****	****	110
160	751	Восстания 3   (751)		06259068	2003	****	****	0	****	****	****	****	****	****	****	****	1104
161	4	Ленина	25	15598031	2001	10.01 20:32	00001588	1588	****	****	****	****	****	****	****	****	112
162	3	Ленина	25	15598151	2001	10.01 20:27	00001567	1567	****	****	****	****	****	****	****	****	112
163	439	пр.Ленина	21	05394654	2002	10.01 20:25	00027597	27597	****	****	****	****	****	****	****	****	112
164	23	пр.Ленина	23	03371035	2002	10.01 20:27	00013480	13480	****	****	****	****	****	****	****	****	112
165	844	Суворова,20	20	09310571	2001	11.01 02:17	00003864	3864	****	****	****	****	****	****	****	****	1120
166	845	Суворова,18	18	09310684	2001	11.01 02:09	00005358	5358	****	****	****	****	****	****	****	****	1120
167	847	Суворова,20а	20а	09310213	2001	11.01 02:17	00002821	2821	****	****	****	****	****	****	****	****	1120
168	354	Суворова,16	16	07016080	2002	11.01 00:30	00002591	2591	****	****	****	****	****	****	****	****	1120
169	355	Суворова,14	14	07020190	2002	****	****	0	****	****	****	****	****	****	****	****	1120
170	356	Суворова,12	12	07016059	2002	11.01 00:27	00003195	3195	****	****	****	****	****	****	****	****	1120
171	268	пр.Шахтеров-15	15	06298622	2002	10.01 07:57	00020847	20847	****	****	****	****	****	****	****	****	1132
172	199	пр.Шахтеров-17	17	06298764	2002	11.01 02:10	00011766	11766	****	****	****	****	****	****	****	****	1132
173	275	ул.Тульская-11	11	06298854	2002	11.01 02:08	00009843	9843	****	****	****	****	****	****	****	****	1132
174	277	ул.Тульская-7	7	06298852	2002	11.01 02:13	00009751	9751	****	****	****	****	****	****	****	****	1132
175	136	Нахимова 31   (136)		06298431	2003	11.01 02:02	00056671	56671	****	****	****	****	****	****	****	****	1132
176	254	ул.Тульская-1	1	07009149	2003	11.01 02:03	00020124	20124	****	****	****	****	****	****	****	****	1132
177	198	пр.Шахтеров-19	19	06298537	2001	11.01 00:20	00019354	19354	****	****	****	****	****	****	****	****	1132
178	253	ул.Тульская-9	9	07009148	2001	11.01 00:23	00009975	9975	****	****	****	****	****	****	****	****	1132
179	760	Суворова общий ТП	15	07953002	2003	****	****	0	****	****	****	****	****	****	****	****	1138
